23,19
23,14
23,11
23,5
23,3
23,23
22,20
22,15
22,7
22,2
22,22
21,18
21,13
21,12
21,8
21,21
20,22
20,7
20,6
20,4
20,20
19,14
19,23
19,19
18,21
18,18
17,15
17,14
17,3
17,2
17,17
16,8
16,11
16,1
16,16
15,22
15,17
15,7
15,3
15,2
15,15
14,23
14,19
14,17
14,3
14,14
13,21
13,12
13,7
13,8
13,5
13,13
12,21
12,13
12,7
12,4
12,12
11,23
11,16
11,8
11,5
11,1
11,11
10,10
9,9
8,21
8,16
8,13
8,11
8,5
8,8
7,22
7,20
7,15
7,13
7,12
7,5
7,4
7,3
7,7
6,20
6,4
6,6
5,23
5,13
5,11
5,8
5,7
5,3
5,5
4,20
4,12
4,7
4,6
4,4
12,4
12,7
12,21
12,13
12,12
1,1
1,11
1,16
2,2
2,15
2,17
2,22
3,3
3,5
3,7
3,14
3,15
3,17
3,23
